Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,,,,,,
12/11/19,8,12122.2865201823,11905.3349392361,2410.69369981554,96.8671691470676,26588.8192496745,,,,,,
12/11/19,9,12128.9155425347,11737.8476649306,2266.00587890625,84.0549904632568,26209.0256678602,,,,,,
12/11/19,10,12119.2200097656,11381.5106434462,2145.08291137695,71.8294241894616,25644.0057324219,,,,,,
12/11/19,11,12122.2596202257,11220.9243684896,1940.930234375,66.8453320460849,25221.2901497396,,,,,,
12/11/19,12,12178.9559450955,11112.3116699219,1939.26927707248,60.7509829076131,25167.6689035373,,,,,,
12/11/19,13,12380.4709038628,11068.8304969618,1960.39428290473,58.1688311767578,25313.0837825521,,,,,,
12/11/19,14,12416.5496896701,10976.4422732205,2034.04594428168,56.9758682780796,25426.825128852,,,,,,
12/11/19,15,12565.3638538954,11198.1153151967,2212.1865373351,54.1067301540727,25974.6627465136,,,,,,
12/11/19,16,12104.3986111111,11382.642046441,2291.72496934679,56.1555638980865,25814.5691053602,,,,,,
12/11/19,17,12676.224390191,11961.0109082031,2515.66804660373,64.6620792717404,27284.0782324219,,,,,,
12/11/19,18,13418.0813509115,13090.3543608941,2840.63259467231,71.4756048668755,29499.5462445747,,,,,,
12/11/19,19,13363.3221582031,13080.6525672743,2826.4790633138,73.9714727422926,29427.8975086806,,,,,,
12/11/19,20,13104.9219639757,12984.7770355903,2783.56548583984,76.0889828915066,29033.2586848958,,,,,,
12/11/19,21,12687.9545062934,12705.0973209635,2685.52340874566,75.8414122390747,28232.9184765625,,,,,,
12/11/19,22,12021.1732421875,12203.1216178385,2526.099269477,74.3271578534444,26896.3863172743,,,,,,
12/11/19,23,11106.6126276979,11360.7296805457,2298.7151042855,71.5328644778209,24903.641808857,,,,,,
12/11/19,24,10295.7263563368,10483.276875,2082.67915988498,69.7850025177002,23003.0077609592,,,,,,
12/12/19,1,9931.16646592882,9944.65688693576,1998.84335150825,69.7589902475145,22002.5654996745,,,,,,
12/12/19,2,9510.44418185764,9562.28706814236,1919.45355129666,69.0004912842645,21113.5797960069,,,,,,
12/12/19,3,9239.59938476562,9360.11250759549,1853.64355129666,70.4678368483649,20562.4187326389,,,,,,
12/12/19,4,9249.46832356771,9325.51884114583,1836.11982625326,72.7935878054301,20519.8913840061,,,,,,
12/12/19,5,9487.07902886285,9592.48406358507,1898.49871771918,78.3109259520637,21094.8394769965,,,,,,
12/12/19,6,10088.3456966146,10330.4481434462,2070.18039740668,86.2114094161987,22618.3823931207,,,,,,
12/12/19,7,11273.534555822,11381.4588602199,2304.2338553353,95.3147761726379,25082.9381477736,,,,,,
12/12/19,8,12036.3697406684,11740.5308680556,2379.76380262587,96.9746805742052,26278.5844346788,,,,,,
12/12/19,9,11942.2993760851,11588.3217057292,2282.59860243056,90.457518687778,25898.7840163845,,,,,,
12/12/19,10,11687.2158528646,11324.5629709201,2096.33355821398,78.5477276876809,25164.7975347222,,,,,,
12/12/19,11,11442.0403461372,10737.3765614149,1985.08871283637,68.105062851376,24188.1506358507,,,,,,
12/12/19,12,11172.070359158,10493.3128602431,1932.2446987576,64.8981350347731,23626.6309803602,,,,,,
12/12/19,13,11018.9704329427,10479.9974348958,1966.53227471246,63.3974554475149,23525.6893977865,,,,,,
12/12/19,14,11165.233375651,10813.4359505208,2053.28118340386,62.0105685152584,24098.9134380425,,,,,,
12/12/19,15,11361.6274403212,11057.0011729601,2127.96825724284,58.3417382261488,24613.5118549262,,,,,,
12/12/19,16,11704.2872938368,11413.7117089844,2299.15427435981,59.8506849331326,25487.9079671224,,,,,,
12/12/19,17,12287.8053862847,11967.9425976563,2542.4352094184,68.8451150385539,26887.4724506293,,,,,,
12/12/19,18,13085.384406467,12892.6774077691,2801.74412706163,76.1011743566725,28927.9279817708,,,,,,
12/12/19,19,12929.3953493924,12872.4236263021,2795.7772772895,77.6271721627977,28742.0795095486,,,,,,
12/12/19,20,12696.9075954861,12698.7699717882,2731.01536187066,79.1120858849419,28264.8612771267,,,,,,
12/12/19,21,12447.3591655816,12432.8757855903,2632.56135362413,78.4103361108568,27629.5255425347,,,,,,
12/12/19,22,11867.5720203993,11919.0616080729,2482.6969797092,76.3675734138489,26384.865922309,,,,,,
12/12/19,23,10965.4801497396,11154.4732899306,2251.57070827908,73.2186047956679,24495.0250330946,,,,,,
12/12/19,24,10150.4018218316,10308.8140125868,2074.47470011393,70.9073285738627,22640.2397357856,,,,,,
12/13/19,1,9746.39035698785,9750.74768880208,1976.87530992296,70.8923890219794,21581.1862179905,,,,,,
12/13/19,2,9367.17741753472,9403.17473849826,1895.44174099392,71.7162258423699,20765.1281570095,,,,,,
12/13/19,3,9120.30120551215,9147.48407118056,1844.36395521376,73.9417392243279,20211.8200520833,,,,,,
12/13/19,4,9128.64185221354,9064.05577907986,1827.60501695421,76.6536410310533,20121.0797173394,,,,,,
12/13/19,5,9326.10009765625,9325.42884657118,1868.98556342231,82.5686755816142,20633.2297851563,,,,,,
12/13/19,6,9939.2906532118,10018.6062358941,1985.27996744792,90.6703732638889,22073.8843994141,,,,,,
12/13/19,7,11082.625109592,11022.4432953559,2245.48470675998,98.6695318285624,24467.8781705729,,,,,,
12/13/19,8,11746.0475423177,11349.4320768229,2317.59185031467,96.9453958384196,25511.9596516927,,,,,,
12/13/19,9,11726.0740136719,11173.4928298611,2186.46433702257,84.0792065111796,25110.179265408,,,,,,
12/13/19,10,11895.6528211806,10862.6022591146,2059.37335164388,74.1492034742567,24712.4670426432,,,,,,
12/13/19,11,12510.9093695747,10079.1061621094,1961.98619561089,66.7005140071445,24424.5206852214,,,,,,
12/13/19,12,12125.589375,10380.6800694444,1918.56791463216,59.6430342536502,24337.7628217231,,,,,,
12/13/19,13,11947.518703342,10558.7074414062,1969.27421739366,54.5513929536608,24372.2801155599,,,,,,
12/13/19,14,11626.462890625,10979.1171419271,1996.894581977,51.4670380867852,24534.6287858073,,,,,,
12/13/19,15,11733.500222851,11110.710989111,2113.37645551139,51.2396904833232,24897.8751956546,,,,,,
12/13/19,16,11931.6141547309,11181.906515842,2276.87353949653,53.6626419141557,25455.0977935113,,,,,,
12/13/19,17,12409.8842947049,11820.9666427951,2518.85328640408,61.554088728163,26846.778186849,,,,,,
12/13/19,18,13112.2806499566,12720.6291026476,2765.01893066406,67.4216575262282,28716.4740342882,,,,,,
12/13/19,19,12941.7611176215,12644.8172395833,2704.50587917752,67.3721882523431,28411.1695138889,,,,,,
12/13/19,20,12622.8268674045,12433.5227690972,2608.95507514106,68.6821643850539,27795.4036816406,,,,,,
12/13/19,21,12281.8650672743,12170.9299728733,2524.77546766493,68.9441792869568,27099.6627723524,,,,,,
12/13/19,22,11776.2972363281,11752.0746082899,2423.11995062934,67.325150458018,26060.3317643229,,,,,,
12/13/19,23,11069.336312934,11032.0888530816,2243.04454128689,65.2550410408444,24470.3224229601,,,,,,
12/13/19,24,10341.6774305556,10275.7022764757,2060.31408921984,63.1514342053731,22788.7670827908,,,,,,
12/14/19,1,9823.23038628472,9660.55367838542,1967.74150295681,62.6917695130242,21565.0273036024,,,,,,
12/14/19,2,9405.09899414062,9257.55599826389,1877.86836385091,63.543128179974,20654.8010438368,,,,,,
12/14/19,3,9098.47065321181,8977.36180772569,1816.38465060764,64.9978018930223,20008.2746630859,,,,,,
12/14/19,4,9254.62092013889,8916.07788628472,1773.55647176107,66.811357782152,20056.2445621745,,,,,,
12/14/19,5,9354.69433919271,8968.25310763889,1778.94854071723,69.2960412724813,20218.3976638455,,,,,,
12/14/19,6,9624.39771809896,9250.09711697049,1849.01682902018,73.7607355817159,20846.9067236328,,,,,,
12/14/19,7,10110.0620258247,9679.28891059028,1922.58647542318,80.0336941104465,21836.0574310981,,,,,,
12/14/19,8,10552.728577474,9919.87418077257,2013.9984487576,79.8823043335809,22597.9873312717,,,,,,
12/14/19,9,10575.9434418403,10258.1562912326,2128.41709662543,71.7392932298448,22976.6733251953,,,,,,
12/14/19,10,10328.1531336806,10404.1157280816,2132.75978569878,64.7342394754622,22773.629543457,,,,,,
12/14/19,11,10051.4217523872,10484.9353917101,2071.48622124566,58.0706398656633,22468.7937215169,,,,,,
12/14/19,12,9723.21603515625,10385.8909082031,1984.52206285265,54.5916727119022,21965.1079657661,,,,,,
12/14/19,13,9582.97070963542,10294.5310601128,1942.20854465061,53.9434338898129,21700.5554972331,,,,,,
