county_st,medoid
Okanogan WA,Orange CA
Pacific WA,Orange CA
Pierce WA,Orange CA
Skagit WA,Orange CA
Spokane WA,Orange CA
Stevens WA,Orange CA
Wahkiakum WA,Orange CA
Walla Walla WA,Orange CA
Whatcom WA,Orange CA
Whitman WA,Orange CA
Yakima WA,Orange CA
Crook WY,Orange CA
Los Angeles CA,Los Angeles CA
San Bernardino CA,Los Angeles CA
King WA,King WA
San Francisco CA,Salt Lake UT
Cassia ID,Salt Lake UT
Jerome ID,Salt Lake UT
Cascade MT,Salt Lake UT
Treasure MT,Salt Lake UT
Storey NV,Salt Lake UT
Multnomah OR,Salt Lake UT
Davis UT,Salt Lake UT
Salt Lake UT,Salt Lake UT
Tooele UT,Salt Lake UT
Weber UT,Salt Lake UT
Laramie WY,Salt Lake UT
Maricopa AZ,Maricopa AZ
Clark NV,Maricopa AZ
